ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment,celltype
cluster9,cluster9,211,0.62021231296277,2.09930415116319,9.07414172726971e-12,1.15241599936325e-09,9.74276269664748e-10,2021,"tags=39%, list=13%, signal=34%",RPL21/RPL13A/RPL3/RPS11/RPL11/RPL27A/PABPC1/RPL4/RPL9/RPS15/ADARB1/RPL13/RPS15A/IGF2BP2/RPL30/RPS8/RPL18A/RPL36/RPS6/RPL18/HNRNPR/RPL7/RPS3A/HNRNPM/RPS25/NPM1/RPL15/RPS7/RPS23/RPL10A/RPL22/RPL37A/RPL23A/RPL6/RPL32/RPL10/RPS5/RPS9/RPS13/RPS3/RC3H1/RPS4X/DDX56/RPLP0/SF3B2/RPL14/RPS18/RPS26/YBX1/RPL28/RPS19/PURA/RPL19/SRSF3/RPS2/RPSA/RPS16/RPL24/MPHOSPH10/PRPF8/ILF3/RC3H2/SYNCRIP/HNRNPU/RPL8/PSPC1/MEPCE/DDX18/RPL5/PRC1/CTCF/RPL12/DDX27/HNRNPA0/FAM229A/FTSJ3/RPS17/RECQL4/RPL35/REXO4/RBMX/NOP56,Gran
cluster53,cluster53,113,0.516694091779854,1.6305784398816,0.000765207776272026,0.0325453072889374,0.0275144744589441,2493,"tags=35%, list=16%, signal=29%",GRM4/CDH18/DPF3/CNOT2/POU2F1/CTBP2/CLVS1/BCL6/CTBP1/VSX1/CWF19L2/MAML1/YEATS4/SMAD1/EPC1/QSER1/KANSL1/FOXJ2/SGF29/CKMT2-AS1/TNRC6A/HMBOX1/PIAS2/ZHX2/TLE3/RELA/LIN52/IRF2BP2/ZNF219/ING3/TFAP4/PHC2/TNRC6B/PIAS1/ZNF638/PATZ1/XPO1/MORC4/MEN1,Gran
cluster96,cluster96,139,0.496908363045859,1.60000696078556,0.000959913057320704,0.0325453072889374,0.0275144744589441,2129,"tags=20%, list=14%, signal=18%",CCDC175/MTCL1/COL27A1/CECR2/CDH7/SMC5/LYST/GACAT2/DLEU2/BEND6/EN2/DEAF1/NR4A2/ARPP21/BRD1/DEGS2/CLK4/RASA2/TRIM11/CKAP2/MSL2/EOMES/BRCC3/XPA/INTS6/ZNF714/GTF2A1/TET1,Gran
cluster84,cluster84,131,-0.561040724246381,-1.60031679869899,0.0012994537321016,0.0325453072889374,0.0275144744589441,2678,"tags=24%, list=17%, signal=20%",CDHR1/RNF121/ZNF117/IQCB1/PEX1/ANKRD19P/ZDHHC4/C1orf159/STON2/TPD52L2/CAMK1D/DUSP7/SLITRK2/SLC29A4/SLC26A11/GOLGA7/ARMC10/PLPP1/MKLN1/HRH1/TAC3/ADCY5/GALNT8/MOG/PTPRN2/FARP1/SLC2A13/PLXNA4/CNDP1/TMEM144/ATRNL1,Gran
cluster75,cluster75,145,-0.550271370588399,-1.59352376100717,0.00138265211969083,0.0325453072889374,0.0275144744589441,2599,"tags=28%, list=17%, signal=24%",CMAHP/SH3BP4/C3/SYNE3/ADAMTS4/ZDHHC17/CRYAB/EMB/BAIAP2/P2RX6/BMP7/SLCO1C1/HCN1/RINT1/EFNB3/CPT1C/ACSS3/EGFL7/LTBP1/LINGO1/SMOC1/COL4A2/PCSK5/MET/LRP2/ATP13A4/ANKRD26/LRP1B/DNER/BCAN/GRIN2A/SORL1/GRIN1/FGFR2/PLEKHA5/PIK3R1/PTPN13/GAB1/ANKRD30BL/RASAL2/CCDC88A,Gran
cluster66,cluster66,206,-0.500181618360353,-1.50597279643714,0.0015375735727057,0.0325453072889374,0.0275144744589441,1852,"tags=21%, list=12%, signal=19%",LYPD6B/ETNPPL/RHBDL3/ERBB3/TRAPPC12/COL9A1/FAM126A/ADHFE1/RABGAP1/CCNYL1/COLQ/DCHS2/SULF2/TESC/IL17D/PTPN11/TOX3/CTNNA1/IGF1/SNTB2/ZBBX/ITGA9/NPTX2/EPHB2/GSG1L/ADAMTS9-AS2/MAG/APP/PARD3/C11orf87/UTRN/ADGRB1/PCP4/FBN1/KCNIP1/RPS6KA2/LHFPL3/DLG2/PLXDC2/NXPH1/CSGALNACT1/NCALD/PPP2R2B/LRRTM4,Gran
cluster83,cluster83,89,-0.595837779747862,-1.61929437064321,0.00208577108226948,0.0350847831645,0.0296613997743804,953,"tags=19%, list=6%, signal=18%",UCN/SLC2A6/OSBPL5/PRMT9/MEST/CHRNA7/TSPAN14/ST3GAL5/SAMD8/KCNN3/BCL2/CTNNA2/EDIL3/PLCB1/CDH13/ASIC2/TENM2,Gran
cluster26,cluster26,100,0.510609919568859,1.58743579031967,0.00242093031809076,0.0350847831645,0.0296613997743804,1281,"tags=18%, list=8%, signal=17%",KCTD8/CAMK2D/DISP2/PDE10A/MAML2/MORN1/EML5/MXD4/IL36B/KIAA0513/JPH3/GKAP1/CELF3/POU2F2/SLC35F3/ARHGEF2/NOL4L/TTC41P,Gran
cluster50,cluster50,166,-0.529780036508197,-1.55759956105921,0.00248632321638189,0.0350847831645,0.0296613997743804,1992,"tags=22%, list=13%, signal=20%",NTAN1/INPP1/DMTN/STAT1/PHF24/LRRK1/MARK1/RAPH1/CAMK1G/ASTN1/EPHA10/EFCAB7/ANKDD1A/TTC21A/PIK3C2B/AKAP6/SYNPO/RAPGEF2/SIK3/HUNK/ENOSF1/VPS41/CNTN2/TMEM241/PPFIA2/NRCAM/GLUL/DAPK1/SYNJ2/OSBPL3/KIAA0930/PDE8B/SLC8A1/PDE4D/FRMD4A/CHN1/KALRN,Gran
cluster66,cluster66,206,0.474898874139821,1.71533537218199,1.57798830267465e-05,0.00200404514439681,0.00179392354409329,601,"tags=11%, list=4%, signal=10%",LHFPL3/COL9A1/NXPH1/SULF2/NTN1/PARD3/NTM/RARRES2/NLGN3/ALDH1A3/KCNIP1/GSG1L/PBX3/LRRTM4/NRXN1/RICTOR/CSGALNACT1/ITGA9/KCNJ16/RHBDL3/NEDD4/EXOC4,OPC
cluster9,cluster9,211,-0.468155932959984,-1.59218255573004,8.76658665743483e-05,0.00556678252747112,0.00498311241580506,3831,"tags=44%, list=25%, signal=33%",RPL10A/MEPCE/HNRNPA0/CEBPZ/POP1/RPS9/PDCD11/SF3B2/RPS8/RC3H2/RBM8A/FZR1/RPS20/DDX54/RPL5/NSA2/RPL4/PSPC1/MYBBP1A/RPS3/PCBP1/RPL23A/GNL2/RPL18A/CAND1/NPM1/PRC1/RPS13/SRSF3/RPL7A/HNRNPDL/REXO4/RPLP0/RPL24/RPS2/RPL6/ZCRB1/RPL7/SRSF4/RPS19/CIT/SNRNP70/HEXIM1/RPL30/RSL1D1/RPL28/RPL36AL/RPL12/G3BP2/STAU1/KNOP1/ADARB1/RPL10/RPL36/STAU2/RPL18/RPLP1/RPL22/RPS17/RPLP2/RPL13A/RPS15A/RPL15/RPS3A/RPSA/NEIL1/RPL8/DDX24/RPL27/PURA/RPS25/RPL31/RPS16/RPS23/RPL21/RPS7/RPL37A/RPS4X/RPL11/RPL27A/RPL9/PABPC1/RPL35/SRSF5/RPS14/RPL32/RPS24/RPL19/RPL14/RPS15/RPS6/RPS18,OPC
cluster8,cluster8,94,0.508966978217891,1.63089355140927,0.00104506719632849,0.0333713573859364,0.0298724127449741,1512,"tags=26%, list=10%, signal=23%",PTPRZ1/HIP1/CASK/CALCRL/RFTN2/NOS1/EPS8/PRTFDC1/CRTAC1/DLL1/GUCY1A2/CACNA1A/RAD51B/GRIK1/TRAF3IP2/TNIK/SPESP1/MYO16/RAMP1/TJP1/SHC4/VSTM4/LDLRAD4/HS6ST3,OPC
cluster21,cluster21,126,0.485119014918462,1.64694618885038,0.0010510663743602,0.0333713573859364,0.0298724127449741,737,"tags=10%, list=5%, signal=9%",SEZ6L/ABHD2/TAOK3/KIF26B/LAMA4/USP24/NKAIN4/C1orf21/GLTP/COL4A3/MAP4K5/NGF,OPC
cluster9,cluster9,211,-0.5232285867643,-1.78449501652864,1.01316276493731e-06,0.000128671671147039,0.000125845480276424,3605,"tags=46%, list=24%, signal=36%",RPS24/RPL18A/ZNF22/NKRF/HEXIM1/KRI1/RBMS2/PRC1/PTBP1/STAU1/CUL3/FBL/DDX24/FAM120A/FTSJ3/RPS3/SRP72/TTC9/ZNF346/GNL3/EBNA1BP2/RPLP0/KRR1/RPS3A/CAPRIN1/RPL24/PRPF8/RBM19/DKC1/RPS17/CTCF/DDX56/G3BP2/UPF1/SRP68/SURF6/HNRNPA0/RPL32/RPS15A/RPLP2/MYBBP1A/RPS9/NOP56/RPL5/RPS19/U2SURP/RPL35/RPS7/RPS8/TRA2A/RPS25/RPL36AL/NCL/RPS2/RPL14/RPL11/RBM39/RPL6/RPS5/HNRNPA2B1/RPL10/RPL30/PABPC1/RPL19/RPS16/RPL22/RPL21/RPL8/SRSF3/RC3H1/RPL13/RPL31/KNOP1/RPS13/RPS11/RPSA/RPL7A/RPLP1/RPL4/NSA2/RPS4X/RPL10A/RPL7/RPS18/RPL9/RPL3/HNRNPDL/RPL13A/CIT/RPS23/RPL27A/RPS6/RPS15/SF3B1/RPL27/RPL37A/RPS14,Purk2
cluster83,cluster83,89,-0.548559576278439,-1.69347120086219,0.000336860377759452,0.0213906339877252,0.0209208024082186,2682,"tags=26%, list=17%, signal=21%",HERPUD2/SLC30A10/AGT/KCNN3/PIANP/ALG14/MICAL3/CHRNA7/SMPD3/PRMT9/FLRT3/OSBPL5/BCL2/LSS/PEX5/JTB/SAMD8/CDH13/ASIC2/EDIL3/CTNNA2/PLCB1/TENM2,Purk2
cluster9,cluster9,211,-0.52623260199864,-1.75521256770252,3.70030869670378e-06,0.00046993920448138,0.000436246920032446,3133,"tags=43%, list=20%, signal=35%",RPS3A/EFTUD2/STAU1/HNRNPM/CCDC137/UPF1/RPL32/HNRNPA3/HNRNPR/RPS15A/SRSF7/DKC1/RC3H2/CAPRIN1/NPM1/RPL22/SRP72/SRP68/TTC9/CAND1/HNRNPA0/DHX9/MYBBP1A/RPS24/SRSF6/CEBPZ/DDX10/RPL10A/RPL36AL/RPS9/HEXIM1/RPS17/RPL12/RPL27/DDX24/NFX1/RPL37A/RPL5/PCBP1/RPL27A/RPL36/NOP56/NKRF/PRKRA/RPS3/SF3B2/RPS20/RPS13/RPL8/RPS2/RPL30/PURA/RPL7/RPS6/RPL31/RPS4X/RPL6/STAU2/RPL14/RPS18/RPS7/RPLP1/RPL10/RPL9/RPS23/PUM3/RPS8/RPSA/RPS5/RPL4/RPS25/G3BP2/RPS15/RPL19/RPL7A/ADARB1/RPLP2/PABPC1/RPL35/RPL21/RPL18/RPS16/RPS14/RPL13A/RPL15/RPL24/RPS19/HNRNPDL/RPL3/RPL13/CIT,Ast
